Source,SS,DF,MS,F,p_unc,p_GG_corr,ng2,eps,sphericity,W_spher,p_spher
interval_index,2.4107979088330365,3,0.8035993029443455,67.87158964740651,0.0029572487050781985,0.07689829068041618,0.9822456661039783,0.33333333333333337,True,21400.217839129404,2.1829517016793476
Error,0.035519985922786726,3,0.011839995307595575,,,,,,,,
