run_name,seed,interval_index,tokens_seen,target_checkpoint_tokens,step,train_loss,val_loss,val_ppl,elapsed_seconds,tokens_per_second,learning_rate,epoch_equivalent,device,precision,val_loss_delta,rolling_volatility,backslide,backslide_magnitude,spike_threshold,spike,spike_rate,backslide_frequency,between_seed_val_loss_mean,between_seed_val_loss_variance,between_seed_val_loss_std,seeds_observed,stable_phase_candidate
followup_cpu_rapid_20m,101,0,0,0,0,,8.334211468696594,4163.9168830662165,0.1808739000116475,0.0,0.0004,0.0,cpu,fp32,,,0,0.0,0.01,0,0.0,0.0,8.351436257362366,0.0005933866891609796,0.024359529740144402,2,0
followup_cpu_rapid_20m,101,1,1001472,1000000,489,5.5322262659394665,3.685433208942413,39.862387452625015,191.77092820001417,5227.160687745506,0.0003997696,2.336459587334472,cpu,fp32,-4.648778259754181,,0,0.0,0.01,0,0.0,0.0,3.6887081265449524,2.145017060684622e-05,0.004631432889165751,2,0
followup_cpu_rapid_20m,101,2,2000896,2000000,977,3.5649645249741,3.049807459115982,21.111279246827973,373.78679459998966,5490.861976855302,0.0003975506747393,4.6681411387030245,cpu,fp32,-0.6356257498264308,2.8377273537057257,0,0.0,1.3709505051374435,0,0.0,0.0,3.064963608980179,0.00045941775741200415,0.021434032691306695,2,0
followup_cpu_rapid_20m,101,3,3000320,3000000,1465,3.0851646482211645,2.883470445871353,17.876204052132053,554.8954377000045,5518.367223634275,0.0003902637956963,6.999822690071578,cpu,fp32,-0.1663370132446289,2.4636661203252914,0,0.0,2.206236253311072,0,0.0,0.0,2.895962819457054,0.00031211879560943956,0.017666884151129752,2,0
followup_cpu_rapid_20m,101,4,4001792,4000000,1954,2.755307906061594,2.800413638353348,16.451450314715117,735.9461607999983,5531.444353563228,0.0003783089014084,9.336282277406047,cpu,fp32,-0.08305680751800537,2.190433460198981,0,0.0,2.4104925860777238,0,0.0,0.0,2.78665728867054,0.00037847431319137925,0.019454416290173786,2,0
followup_cpu_rapid_20m,101,5,5001216,5000000,2442,2.4692327364607425,2.7954490780830383,16.369978501293033,914.6106430999936,5593.859434926016,0.0003620604997059,11.6679638287746,cpu,fp32,-0.004964560270309448,1.9946285819908545,0,0.0,2.4603476012337397,0,0.0,0.0,2.792994111776352,1.2053719133934211e-05,0.003471846646085367,2,0
followup_cpu_rapid_20m,101,6,6000640,6000000,2930,2.2378273356828045,2.9206884801387787,18.554057163249503,1093.1054409999924,5599.17718475988,0.0003419415104956,13.999645380143155,cpu,fp32,0.12523940205574036,0.2904002340443306,1,0.12523940205574036,0.3665347854432507,0,0.0,1.0,2.901087999343872,0.0007683576947830323,0.02771926576919079,2,0
followup_cpu_rapid_20m,101,7,7002112,7000640,3419,2.010047587209928,2.8915098309516907,18.02049697631537,184.12372020000475,5439.125382173188,0.0003184490738241,16.336104967477628,cpu,fp32,-0.029178649187088013,0.10737289658950203,0,0.0,0.1604149509392872,0,0.0,1.0,2.8833308815956116,0.0001337904251386135,0.011566781105329759,2,0
followup_cpu_rapid_20m,101,8,8001536,8000640,3907,1.791492994844181,3.0271480679512024,20.63828957912757,364.1918355000089,5550.255237218985,0.0002923191310783,18.667786518846174,cpu,fp32,0.13563823699951172,0.0971190777453838,1,0.13563823699951172,0.202467412216582,0,0.0,2.0,3.0354141741991043,0.0001366570250032062,0.011690039563799867,2,0
followup_cpu_rapid_20m,101,9,9000960,9000640,4395,1.6025602572032662,3.224828749895096,25.149266972418797,544.084182999999,5555.678236952546,0.0002642187776561,20.99946807021473,cpu,fp32,0.19768068194389343,0.09748165753550841,1,0.19768068194389343,0.25926351255535074,0,0.0,3.0,3.220045357942581,4.57616771427638e-05,0.006764737773392536,2,0
followup_cpu_rapid_20m,101,10,10002432,10000640,4884,1.419672159969441,3.229518383741379,25.267484808544253,727.3521922999935,5464.521625051723,0.0002348528924067,23.335927657549203,cpu,fp32,0.004689633846282959,0.09532896331712543,1,0.004689633846282959,0.2573434948930091,0,0.0,4.0,3.2361205220222473,8.717645975941934e-05,0.009336833497466866,2,0
followup_cpu_rapid_20m,101,11,11001856,11000640,5372,1.248018234479623,3.4223195016384125,30.640403125962823,906.5958309000124,5575.785047692587,0.0002051414126966,25.66760920891776,cpu,fp32,0.1928011178970337,0.10629476033691342,1,0.1928011178970337,0.29047205211223626,0,0.0,4.0,3.4093527048826218,0.000336275636211969,0.018337819832574674,2,0
