run_name,seed,interval_index,tokens_seen,target_checkpoint_tokens,step,train_loss,val_loss,val_ppl,elapsed_seconds,tokens_per_second,learning_rate,epoch_equivalent,device,precision
followup_cpu_rapid_20m_6s,202,0,0,0,0,nan,8.368661046028137,4309.861491455423,0.12089329998707399,0.0,0.0004,0.0,cpu,fp32
followup_cpu_rapid_20m_6s,202,1,1001472,1000000,489,5.552535688157949,3.6919830441474915,40.12433644621633,166.43800069999998,6021.461145252712,0.0003997696,2.336459587334472,cpu,fp32
followup_cpu_rapid_20m_6s,202,2,2000896,2000000,977,3.5664446771022726,3.0801197588443756,21.761008313361206,331.10664479999105,6069.303633745377,0.0003975506747393183,4.6681411387030245,cpu,fp32
followup_cpu_rapid_20m_6s,202,3,3000320,3000000,1465,3.0909113949317426,2.908455193042755,18.32846274919822,494.4967251000053,6116.797287600776,0.0003902637956963048,6.999822690071578,cpu,fp32
followup_cpu_rapid_20m_6s,202,4,4001792,4000000,1954,2.7616536824493565,2.772900938987732,16.004996247882758,658.4750311000098,6107.3444678710875,0.0003783089014084503,9.336282277406049,cpu,fp32
followup_cpu_rapid_20m_6s,202,5,5001216,5000000,2442,2.474310842480083,2.7905391454696655,16.28980000654722,65189.53323019997,15.487488162931431,0.0003620604997059477,11.667963828774601,cpu,fp32
followup_cpu_rapid_20m_6s,202,6,6000640,6000000,2930,2.2416279384347257,2.8814875185489655,17.84079196010228,65374.15888719997,5413.245462411635,0.00034194151049566187,13.999645380143155,cpu,fp32
followup_cpu_rapid_20m_6s,202,7,7000064,7000000,3418,2.0189041543263393,2.8751519322395325,17.728117389437013,65563.03061490002,5291.548990260618,0.00031850009676778177,16.331326931511708,cpu,fp32
followup_cpu_rapid_20m_6s,202,8,8001536,8000000,3907,1.7975929016837802,3.0436802804470062,20.98232214200842,65763.87964109998,4986.192957704412,0.00029231913107838234,18.667786518846178,cpu,fp32
followup_cpu_rapid_20m_6s,202,9,9000960,9000000,4395,1.6064226661243888,3.2152619659900665,24.90981658127028,65956.18067160001,5197.184837757885,0.0002642187776561557,20.999468070214732,cpu,fp32
followup_cpu_rapid_20m_6s,202,10,10000384,10000000,4883,1.4271001578079627,3.242722660303116,25.603336123088944,66161.59027339998,4865.517440480966,0.0002349136371977041,23.331149621583286,cpu,fp32
followup_cpu_rapid_20m_6s,202,11,11001856,11000000,5372,1.251148645390884,3.396385908126831,29.856002491838524,66354.82480779997,5182.676083804845,0.0002051414126966148,25.667609208917757,cpu,fp32
followup_cpu_rapid_20m_6s,202,12,12001280,12000000,5860,1.0980794572836308,3.546987384557724,34.70859617147199,67523.15765109999,855.4274629283535,0.0001758347708021654,27.99929076028631,cpu,fp32
followup_cpu_rapid_20m_6s,202,13,13000704,13000000,6348,0.9707647418969723,3.549986392259598,34.812843760238295,67735.63879909998,4703.589044991601,0.0001477314569599569,30.33097231165486,cpu,fp32
followup_cpu_rapid_20m_6s,202,14,14000128,14000000,6836,0.8568637092582515,3.6866466999053955,39.910789461322175,67932.3494264,5080.681271356382,0.0001215971754699891,32.662653863023415,cpu,fp32
followup_cpu_rapid_20m_6s,202,15,15001600,15000000,7325,0.7649541933752276,3.8399345576763153,46.52242980425643,68119.33951679998,5355.749055245679,9.809912727589955e-05,34.99911345035789,cpu,fp32
followup_cpu_rapid_20m_6s,202,16,16001024,16000000,7813,0.6942504312323986,3.824387490749359,45.80473594786168,68304.0079317,5411.99208614578,7.797342955539365e-05,37.330795001726436,cpu,fp32
followup_cpu_rapid_20m_6s,202,17,17000448,17000000,8301,0.6307510180383554,3.817735016345978,45.50103242441583,68734.5054922,2321.5555480482612,6.171739490431292e-05,39.66247655309499,cpu,fp32
followup_cpu_rapid_20m_6s,202,18,18001920,18000000,8790,0.5845540340586065,3.932269662618637,51.02265055299905,68914.14223610001,5574.984149998868,4.975413350531428e-05,41.998936140429464,cpu,fp32
followup_cpu_rapid_20m_6s,202,19,19001344,19000000,9278,0.5491060927724007,3.895770162343979,49.193926086163174,69080.51765249998,6007.041314309129,4.2458415302881805e-05,44.33061769179802,cpu,fp32
followup_cpu_rapid_20m_6s,202,20,20000768,20000000,9766,0.5155983522274822,3.9156909584999084,50.18373441219391,69245.71957799999,6049.711569493599,4.0000004031391645e-05,46.66229924316657,cpu,fp32
