interval_index,tokens_seen_mean,val_loss_mean,val_loss_std,val_ppl_mean,rolling_volatility_mean,spike_rate_mean,backslide_frequency_mean,stable_phase_share,between_seed_val_loss_variance
0,0.0,8.351436257362366,0.024359529740144402,4236.88918726082,,0.0,0.0,0.0,0.0005933866891609796
1,1001472.0,3.6887081265449524,0.004631432889165751,39.993361949420674,,0.0,0.0,0.0,2.145017060684622e-05
2,2000896.0,3.064963608980179,0.021434032691306695,21.43614378009459,2.8559927020322857,0.0,0.0,0.0,0.00045941775741200415
3,3000320.0,2.895962819457054,0.017666884151129752,18.102333400665138,2.4736670475244926,0.0,0.0,0.0,0.00031211879560943956
4,4001792.0,2.78665728867054,0.019454416290173786,16.228223281298938,2.1931467786542824,0.0,0.0,0.0,0.00037847431319137925
5,5001216.0,2.792994111776352,0.003471846646085367,16.32988925392013,1.9995230956785641,0.0,0.5,0.0,1.2053719133934211e-05
6,6000640.0,2.901087999343872,0.02771926576919079,18.19742456167589,0.2819988908509214,0.0,1.5,0.0,0.0007683576947830323
7,7001088.0,2.8833308815956116,0.011566781105329759,17.874307182876194,0.1084953033635288,0.0,1.5,0.0,0.0001337904251386135
8,8001536.0,3.0354141741991043,0.011690039563799867,20.810305860567993,0.10542695465097957,0.0,2.5,0.0,0.0001366570250032062
9,9000960.0,3.220045357942581,0.006764737773392536,25.02954177684454,0.09006899400405186,0.0,3.5,0.0,4.57616771427638e-05
10,10001408.0,3.2361205220222473,0.009336833497466866,25.4354104658166,0.0879865667188311,0.0,4.0,0.0,8.717645975941934e-05
11,11001856.0,3.4093527048826218,0.018337819832574674,30.248202808900672,0.09588541340813389,0.0,4.0,0.0,0.000336275636211969
12,12001280.0,3.55325023829937,0.00885701270059475,34.92733812179151,0.06915284506920348,0.0,5.0,0.0,7.84466739784967e-05
13,13000704.0,3.501453623175621,0.06863570025808156,33.2026893103578,0.105945752244452,0.0,4.5,0.0,0.004710859349917218
14,14001152.0,3.68560104072094,0.0014787854002774835,39.86909998594035,0.10664101702468935,0.0,4.5,0.0,2.186806260073837e-06
15,15001600.0,3.813334509730339,0.03761814856497421,45.31727241328764,0.09857040581933707,0.0,4.5,0.0,0.0014151251014564714
16,16001024.0,3.7916079312562943,0.04635729760370825,44.35143590221978,0.10945375848674727,0.0,3.5,0.0,0.0021489990411187746
17,17001472.0,3.8256016671657562,0.011125124279784257,45.861803778723996,0.10630140785215109,0.0,3.0,0.0,0.00012376839024064518
18,18001920.0,3.912441611289978,0.028041099104419508,50.03076790236864,0.08753671110811395,0.0,3.5,0.0,0.0007863032389838764
19,19001344.0,3.8852917701005936,0.014818684422460711,48.68381662892924,0.07183211490584596,0.0,2.5,0.0,0.00021959340801247973
20,20000768.0,3.896519437432289,0.027112625105149238,49.23984728087909,0.05265330601181818,0.0,2.5,0.0,0.0007350944400923687
