run_name,seed,interval_index,tokens_seen,target_checkpoint_tokens,step,train_loss,val_loss,val_ppl,elapsed_seconds,tokens_per_second,learning_rate,epoch_equivalent,device,precision,val_loss_delta,rolling_volatility,backslide,backslide_magnitude,spike_threshold,spike,spike_rate,backslide_frequency,between_seed_val_loss_mean,between_seed_val_loss_variance,between_seed_val_loss_std,seeds_observed,stable_phase_candidate
smoke_cpu_fresh_20260603,101,0,0,0,0,,8.338006496429443,4179.749085937628,0.2714319000078831,0.0,0.0005,0.0,cpu,bf16,,,0,0.0,0.01,0,0.0,0.0,8.335155963897705,1.625107142899651e-05,0.004031261766369992,2,0
smoke_cpu_fresh_20260603,101,1,65536,65536,64,7.35335236042738,6.049005031585693,423.6912608340898,139.6109632999869,469.418722218688,0.0004790671846069,0.1528971509094133,cpu,bf16,-2.28900146484375,,0,0.0,0.01,0,0.0,0.0,6.049652576446533,8.386286936001852e-07,0.0009157667244447055,2,0
smoke_cpu_fresh_20260603,101,2,131072,131072,128,5.67233270034194,5.193440437316895,180.08706660722112,275.6713610999868,481.66844327718144,0.00032813868496,0.3057943018188266,cpu,bf16,-0.8555645942687979,1.013592931586372,0,0.0,0.01,0,0.0,0.0,5.230900406837463,0.0028064986329638607,0.052976396942070916,2,0
smoke_cpu_fresh_20260603,101,3,196608,196608,192,5.324251111596823,4.816459655761719,123.52698766046072,411.6189231000026,482.06822568831655,0.0001371956717066,0.4586914527282398,cpu,bf16,-0.37698078155517667,0.9949545065846411,0,0.0,0.450904958720743,0,0.0,0.0,4.855571627616882,0.003059492684798215,0.05531268104872711,2,0
smoke_cpu_fresh_20260603,101,4,262144,262144,256,5.091704182326794,4.728965997695923,113.1784750208651,547.3336205999949,482.8953768990548,5.0022128354095625e-05,0.6115886036376532,cpu,bf16,-0.0874936580657959,0.3878956525272868,0,0.0,0.19341793679392766,0,0.0,0.0,4.762698411941528,0.0022757515416742535,0.04770483771772265,2,1
smoke_cpu_fresh_20260603,202,0,0,0,0,,8.332305431365967,4155.987860952032,0.3151817000180017,0.0,0.0005,0.0,cpu,bf16,,,0,0.0,0.01,0,0.0,0.0,8.335155963897705,1.625107142899651e-05,0.004031261766369992,2,0
smoke_cpu_fresh_20260603,202,1,65536,65536,64,7.349155243486166,6.050300121307373,424.2403345042501,137.11564690002706,477.9614980614373,0.0004790671846069,0.1528971509094133,cpu,bf16,-2.2820053100585938,,0,0.0,0.01,0,0.0,0.0,6.049652576446533,8.386286936001852e-07,0.0009157667244447055,2,0
smoke_cpu_fresh_20260603,202,2,131072,131072,128,5.737142443656921,5.268360376358032,194.09745462482329,273.07044020001194,482.0425849597999,0.00032813868496,0.3057943018188266,cpu,bf16,-0.7819397449493408,1.0607065333131833,0,0.0,0.01,0,0.0,0.0,5.230900406837463,0.0028064986329638607,0.052976396942070916,2,0
smoke_cpu_fresh_20260603,202,3,196608,196608,192,5.389853209257126,4.894683599472046,133.57773586150563,409.1547591999988,481.5837745420641,0.0001371956717066,0.4586914527282398,cpu,bf16,-0.37367677688598633,1.00487089894168,0,0.0,0.49507336255466394,0,0.0,0.0,4.855571627616882,0.003059492684798215,0.05531268104872711,2,0
smoke_cpu_fresh_20260603,202,4,262144,262144,256,5.143037084490061,4.796430826187134,121.07749875926558,545.1329687000252,481.9595745595346,5.0022128354095625e-05,0.6115886036376532,cpu,bf16,-0.09825277328491211,0.34398762285757295,0,0.0,0.14377300418258238,0,0.0,0.0,4.762698411941528,0.0022757515416742535,0.04770483771772265,2,1
