interval_index,tokens_seen_mean,val_loss_mean,val_loss_std,val_ppl_mean,rolling_volatility_mean,spike_rate_mean,backslide_frequency_mean,stable_phase_share,between_seed_val_loss_variance
0,0.0,8.335155963897705,0.004031261766369992,4167.86847344483,,0.0,0.0,0.0,1.625107142899651e-05
1,65536.0,6.049652576446533,0.0009157667244447055,423.96579766916994,,0.0,0.0,0.0,8.386286936001852e-07
2,131072.0,5.230900406837463,0.052976396942070916,187.0922606160222,1.0371497324497776,0.0,0.0,0.0,0.0028064986329638607
3,196608.0,4.855571627616882,0.05531268104872711,128.55236176098316,0.9999127027631605,0.0,0.0,0.0,0.003059492684798215
4,262144.0,4.762698411941528,0.04770483771772265,117.12798689006533,0.3659416376924299,0.0,0.0,1.0,0.0022757515416742535
