run_name,seed,interval_index,tokens_seen,target_checkpoint_tokens,step,train_loss,val_loss,val_ppl,elapsed_seconds,tokens_per_second,learning_rate,epoch_equivalent,device,precision
followup_cpu_rapid_20m,101,0,0,0,0,nan,8.334211468696594,4163.9168830662165,0.1808739000116475,0.0,0.0004,0.0,cpu,fp32
followup_cpu_rapid_20m,101,1,1001472,1000000,489,5.5322262659394665,3.6854332089424133,39.862387452625015,191.77092820001417,5227.160687745506,0.0003997696,2.336459587334472,cpu,fp32
followup_cpu_rapid_20m,101,2,2000896,2000000,977,3.5649645249741,3.049807459115982,21.111279246827973,373.78679459998966,5490.861976855302,0.0003975506747393183,4.6681411387030245,cpu,fp32
followup_cpu_rapid_20m,101,3,3000320,3000000,1465,3.0851646482211645,2.883470445871353,17.876204052132053,554.8954377000045,5518.367223634275,0.0003902637956963048,6.999822690071578,cpu,fp32
followup_cpu_rapid_20m,101,4,4001792,4000000,1954,2.755307906061594,2.800413638353348,16.451450314715117,735.9461607999983,5531.444353563228,0.0003783089014084503,9.336282277406049,cpu,fp32
followup_cpu_rapid_20m,101,5,5001216,5000000,2442,2.4692327364607425,2.7954490780830383,16.369978501293033,914.6106430999935,5593.859434926016,0.0003620604997059477,11.667963828774601,cpu,fp32
followup_cpu_rapid_20m,101,6,6000640,6000000,2930,2.2378273356828045,2.9206884801387787,18.554057163249503,1093.1054409999924,5599.17718475988,0.00034194151049566187,13.999645380143155,cpu,fp32
followup_cpu_rapid_20m,101,7,7002112,7000640,3419,2.010047587209928,2.8915098309516907,18.020496976315375,184.12372020000475,5439.125382173188,0.00031844907382413566,16.336104967477628,cpu,fp32
followup_cpu_rapid_20m,101,8,8001536,8000640,3907,1.7914929948441807,3.0271480679512024,20.63828957912757,364.1918355000089,5550.255237218985,0.00029231913107838234,18.667786518846178,cpu,fp32
followup_cpu_rapid_20m,101,9,9000960,9000640,4395,1.6025602572032662,3.224828749895096,25.149266972418793,544.084182999999,5555.678236952546,0.0002642187776561557,20.999468070214732,cpu,fp32
followup_cpu_rapid_20m,101,10,10002432,10000640,4884,1.419672159969441,3.229518383741379,25.267484808544253,727.3521922999935,5464.521625051723,0.00023485289240677537,23.335927657549203,cpu,fp32
followup_cpu_rapid_20m,101,11,11001856,11000640,5372,1.2480182344796227,3.4223195016384125,30.640403125962823,906.5958309000125,5575.785047692587,0.0002051414126966148,25.667609208917757,cpu,fp32
followup_cpu_rapid_20m,101,12,12001280,12000640,5860,1.0984742152580962,3.5595130920410156,35.14608007211103,1085.9552879999974,5572.1845737014355,0.0001758347708021654,27.99929076028631,cpu,fp32
followup_cpu_rapid_20m,101,13,13000704,13000640,6348,0.9727691216394305,3.4529208540916443,31.592534860477304,1265.7140363999933,5559.807291137227,0.0001477314569599569,30.33097231165486,cpu,fp32
followup_cpu_rapid_20m,101,14,14002176,14000640,6837,0.8593667201423572,3.6845553815364838,39.82741051055853,1446.7324751999986,5532.430876317839,0.0001215461422952354,32.667431898989335,cpu,fp32
followup_cpu_rapid_20m,101,15,15001600,15000640,7325,0.7661502508248096,3.786734461784363,44.11211502231885,1626.4347903000016,5561.553280177986,9.809912727589955e-05,34.99911345035789,cpu,fp32
followup_cpu_rapid_20m,101,16,16001024,16000640,7813,0.6918788167617482,3.7588283717632294,42.898135856577866,1805.5961788000131,5578.344800559165,7.797342955539365e-05,37.330795001726436,cpu,fp32
followup_cpu_rapid_20m,101,17,17002496,17000640,8302,0.6313320088499285,3.8334683179855347,46.22257513303215,1984.813140800019,5588.042497896863,6.168837913423086e-05,39.66725458906091,cpu,fp32
followup_cpu_rapid_20m,101,18,18001920,18000640,8790,0.5849973595640088,3.892613559961319,49.038885251738215,2163.474650999997,5593.952490837751,4.975413350531428e-05,41.998936140429464,cpu,fp32
followup_cpu_rapid_20m,101,19,19001344,19000640,9278,0.548221334715786,3.8748133778572083,48.17370717169532,2341.468239000009,5614.943837189979,4.2458415302881805e-05,44.33061769179802,cpu,fp32
followup_cpu_rapid_20m,101,20,20000768,20000000,9766,0.5148013168869571,3.87734791636467,48.29596014956427,2520.814792899997,5572.585468005842,4.0000004031391645e-05,46.66229924316657,cpu,fp32
