run_name,seed,interval_index,tokens_seen,target_checkpoint_tokens,step,train_loss,val_loss,val_ppl,elapsed_seconds,tokens_per_second,learning_rate,epoch_equivalent,device,precision
smoke_cpu_fresh_20260603,202,0,0,0,0,nan,8.332305431365967,4155.987860952032,0.3151817000180017,0.0,0.0005,0.0,cpu,bf16
smoke_cpu_fresh_20260603,202,1,65536,65536,64,7.349155243486166,6.050300121307373,424.2403345042501,137.11564690002706,477.9614980614373,0.00047906718460695506,0.1528971509094133,cpu,bf16
smoke_cpu_fresh_20260603,202,2,131072,131072,128,5.737142443656921,5.268360376358032,194.09745462482326,273.07044020001194,482.0425849597999,0.0003281386849600628,0.3057943018188266,cpu,bf16
smoke_cpu_fresh_20260603,202,3,196608,196608,192,5.389853209257126,4.894683599472046,133.57773586150563,409.1547591999988,481.5837745420641,0.00013719567170661123,0.45869145272823986,cpu,bf16
smoke_cpu_fresh_20260603,202,4,262144,262144,256,5.143037084490061,4.796430826187134,121.07749875926558,545.1329687000252,481.9595745595346,5.0022128354095625e-05,0.6115886036376532,cpu,bf16
