interval_index,tokens_seen_mean,val_loss_mean,val_loss_std,val_ppl_mean,rolling_volatility_mean,spike_rate_mean,backslide_frequency_mean,stable_phase_share,between_seed_val_loss_variance
0,0.0,8.355202873547872,0.016738017662602873,4252.743629599798,,0.0,0.0,0.0,0.0002801612352736057
1,1001472.0,3.6949323614438376,0.01881107218762942,40.24882507847973,,0.0,0.0,0.0,0.00035385643684820507
2,2000896.0,3.067961980899175,0.0131431355048449,21.49958884954063,2.851973873586226,0.0,0.0,0.0,0.0001727420108987146
3,3000320.0,2.9080142627159753,0.0191054485962988,18.323165008634174,2.474507333520106,0.0,0.0,0.0,0.00036501816606581577
4,4001792.0,2.7996221582094827,0.016566388808340077,16.440310412500704,2.1934132002146605,0.0,0.0,0.0,0.00027444523814909534
5,5001216.0,2.807710270086924,0.016117213529934154,16.57372959599859,1.9996679757064408,0.0,0.5,0.0,0.0002597645719694925
6,6000640.0,2.8923616906007132,0.021857852269486257,18.03944615926116,0.27848952995053083,0.0,1.5,0.0,0.00047776570583468546
7,7000064.0,2.897244930267334,0.02657788324881138,18.129467679835226,0.10151020814281354,0.0,2.0,0.0,0.0007063838779874486
8,8001536.0,3.0553031663099923,0.0378442965121074,21.240415120158854,0.10302344412474614,0.0,3.0,0.0,0.0014321907784963044
9,9000960.0,3.229576513171196,0.03866590199014891,25.284577938691715,0.08492004204360866,0.0,4.0,0.0,0.0014950519767118013
10,10000384.0,3.25965383152167,0.02534460499906761,26.04748999742633,0.08062002629388815,0.0,4.333333333333333,0.0,0.000642349002558763
11,11001856.0,3.4277800073226294,0.03065927430492412,30.820250595505787,0.08560641718399786,0.0,4.333333333333333,0.0,0.0009399911009045804
12,12001280.0,3.528448070089022,0.038084022193753904,34.091543241807265,0.06707010223952713,0.0,4.833333333333333,0.0,0.00145039274645434
13,13000704.0,3.5355294495821,0.050064770633932026,34.34870315005492,0.08082778885955262,0.0,4.666666666666667,0.0,0.0025064812586282226
14,14000128.0,3.674518490831057,0.03985161789033546,39.45546413780469,0.07483072420781732,0.0,4.666666666666667,0.0,0.001588151448477305
15,15001600.0,3.782184566060702,0.03961517670792338,43.94060785458087,0.06912513337925325,0.0,4.833333333333333,0.0,0.0015693622255999954
16,16001024.0,3.763610308369001,0.052894670138270934,43.1539907721035,0.07707912413652356,0.0,4.0,0.0,0.0027978461290364912
17,17000448.0,3.828146060307821,0.03963078113021214,46.00736118547072,0.07624315392369595,0.0,3.8333333333333335,0.0,0.0015705988129907783
18,18001920.0,3.9025118003288903,0.03605055899989959,49.553610796857846,0.06895345155515946,0.0,4.0,0.0,0.0012996428042052414
19,19001344.0,3.870214660962423,0.03291297375172725,47.97423455451883,0.06756858501681863,0.0,3.0,0.0,0.0010832638411818868
20,20000768.0,3.9010155548652015,0.035492157242192096,49.478660967015,0.055393236741578124,0.0,3.0,0.0,0.0012596932257044886
