run_name,seed,interval_index,tokens_seen,target_checkpoint_tokens,step,train_loss,val_loss,val_ppl,elapsed_seconds,tokens_per_second,learning_rate,epoch_equivalent,device,precision
followup_cpu_rapid_20m_6s,101,0,0,0,0,nan,8.334211468696594,4163.9168830662165,0.10671640001237392,0.0,0.0004,0.0,cpu,fp32
followup_cpu_rapid_20m_6s,101,1,1001472,1000000,489,5.5322262659394665,3.6854332089424133,39.862387452625015,159.24665499999537,6293.0274374261135,0.0003997696,2.336459587334472,cpu,fp32
followup_cpu_rapid_20m_6s,101,2,2000896,2000000,977,3.5649645249741,3.049807459115982,21.111279246827973,324.6571234999865,6042.084331561238,0.0003975506747393183,4.6681411387030245,cpu,fp32
followup_cpu_rapid_20m_6s,101,3,3000320,3000000,1465,3.0851646482211645,2.883470445871353,17.876204052132053,489.9375707000145,6046.837462815328,0.0003902637956963048,6.999822690071578,cpu,fp32
followup_cpu_rapid_20m_6s,101,4,4001792,4000000,1954,2.755307906061594,2.800413638353348,16.451450314715117,655.8271395000047,6036.979945420529,0.0003783089014084503,9.336282277406049,cpu,fp32
followup_cpu_rapid_20m_6s,101,5,5001216,5000000,2442,2.4692327364607425,2.7954490780830383,16.369978501293033,821.6059382999956,6028.659920535356,0.0003620604997059477,11.667963828774601,cpu,fp32
followup_cpu_rapid_20m_6s,101,6,6000640,6000000,2930,2.2378273356828045,2.9206884801387787,18.554057163249503,5066.856109699991,235.42169710823208,0.00034194151049566187,13.999645380143155,cpu,fp32
followup_cpu_rapid_20m_6s,101,7,7000064,7000000,3418,2.0105001597253027,2.890407383441925,18.000641271246437,5231.829349200008,6058.097683169365,0.00031850009676778177,16.331326931511708,cpu,fp32
followup_cpu_rapid_20m_6s,101,8,8001536,8000000,3907,1.7914882897416506,3.0271480679512024,20.63828957912757,5397.476359299995,6045.819960139926,0.00029231913107838234,18.667786518846178,cpu,fp32
followup_cpu_rapid_20m_6s,101,9,9000960,9000000,4395,1.6025602572032662,3.224828749895096,25.149266972418793,5561.304505900014,6100.441351143774,0.0002642187776561557,20.999468070214732,cpu,fp32
followup_cpu_rapid_20m_6s,101,10,10000384,10000000,4883,1.420059988183565,3.227984994649887,25.228769613284303,5725.663093200012,6080.753165490462,0.0002349136371977041,23.331149621583286,cpu,fp32
followup_cpu_rapid_20m_6s,101,11,11001856,11000000,5372,1.2479822298927055,3.4223195016384125,30.640403125962823,5889.399385299999,6116.371557922165,0.0002051414126966148,25.667609208917757,cpu,fp32
followup_cpu_rapid_20m_6s,101,12,12001280,12000000,5860,1.0984742152580962,3.5595130920410156,35.14608007211103,6055.221144200012,6027.098051725741,0.0001758347708021654,27.99929076028631,cpu,fp32
followup_cpu_rapid_20m_6s,101,13,13000704,13000000,6348,0.9727691216394305,3.4529208540916443,31.592534860477304,6218.995929500001,6102.429004375353,0.0001477314569599569,30.33097231165486,cpu,fp32
followup_cpu_rapid_20m_6s,101,14,14000128,14000000,6836,0.8593940470963106,3.680105596780777,39.650580825205985,11745.511969999992,180.84159942284012,0.0001215971754699891,32.662653863023415,cpu,fp32
followup_cpu_rapid_20m_6s,101,15,15001600,15000000,7325,0.7663136064808184,3.786734461784363,44.11211502231885,11929.285473099997,5449.49072149441,9.809912727589955e-05,34.99911345035789,cpu,fp32
followup_cpu_rapid_20m_6s,101,16,16001024,16000000,7813,0.6918788167617482,3.7588283717632294,42.898135856577866,12107.689596899989,5602.022972969226,7.797342955539365e-05,37.330795001726436,cpu,fp32
followup_cpu_rapid_20m_6s,101,17,17000448,17000000,8301,0.6313373158594258,3.829769045114517,46.05190109436853,12284.841262000002,5641.629162422855,6.171739490431292e-05,39.66247655309499,cpu,fp32
followup_cpu_rapid_20m_6s,101,18,18001920,18000000,8790,0.585086817291312,3.892613559961319,49.038885251738215,12463.681266300002,5599.820934470863,4.975413350531428e-05,41.998936140429464,cpu,fp32
followup_cpu_rapid_20m_6s,101,19,19001344,19000000,9278,0.548221334715786,3.8748133778572083,48.17370717169532,12912.629900800006,2226.1433117244305,4.2458415302881805e-05,44.33061769179802,cpu,fp32
followup_cpu_rapid_20m_6s,101,20,20000768,20000000,9766,0.5148013168869571,3.87734791636467,48.29596014956427,13078.341099399986,6031.11925110486,4.0000004031391645e-05,46.66229924316657,cpu,fp32
followup_cpu_rapid_20m_6s,202,0,0,0,0,nan,8.368661046028137,4309.861491455423,0.12089329998707399,0.0,0.0004,0.0,cpu,fp32
followup_cpu_rapid_20m_6s,202,1,1001472,1000000,489,5.552535688157949,3.6919830441474915,40.12433644621633,166.43800069999998,6021.461145252712,0.0003997696,2.336459587334472,cpu,fp32
followup_cpu_rapid_20m_6s,202,2,2000896,2000000,977,3.5664446771022726,3.0801197588443756,21.761008313361206,331.10664479999105,6069.303633745377,0.0003975506747393183,4.6681411387030245,cpu,fp32
followup_cpu_rapid_20m_6s,202,3,3000320,3000000,1465,3.0909113949317426,2.908455193042755,18.32846274919822,494.4967251000053,6116.797287600776,0.0003902637956963048,6.999822690071578,cpu,fp32
followup_cpu_rapid_20m_6s,202,4,4001792,4000000,1954,2.7616536824493565,2.772900938987732,16.004996247882758,658.4750311000098,6107.3444678710875,0.0003783089014084503,9.336282277406049,cpu,fp32
