Source,SS,DF,MS,F,p_unc,p_GG_corr,ng2,eps,sphericity,W_spher,p_spher
interval_index,101.93464719284374,18,5.663035955157985,15390.484453739637,9.277626417555584e-149,2.6352507156177544e-21,0.9995368688798827,0.13231645587644794,True,1.381223367990878e+45,1.790346265495609
Error,0.033116126883216884,90,0.00036795696536907647,,,,,,,,
